Force [kN],Transducer 1[mm],Transducer 2[mm],Transducer 3[mm]
-12.885028,-0.0090451706,-0.0085043712,-0.0088716149
-10.742595,-0.0081722848,-0.0077267587,-0.0078684986
-8.6678114,-0.0073060654,-0.0068362514,-0.0069759935
-6.7937913,-0.0065354854,-0.00618573,-0.0061802268
-5.0279946,-0.0057097021,-0.0055008437,-0.0054574311
-3.8091393,-0.0051724883,-0.0048417887,-0.0049708337
-3.9718504,-0.005114763,-0.0049023684,-0.0049708635
-3.9436445,-0.0050838869,-0.0047713863,-0.0048502684
-3.9458852,-0.0050854776,-0.0047949441,-0.0047941953
-3.9817858,-0.0051142769,-0.0048615159,-0.0047760606
-4.0389113,-0.0050272467,-0.0047270246,-0.0047629476
-3.7354548,-0.0048966231,-0.0046152333,-0.0046715587
-3.6791358,-0.004853229,-0.0046065859,-0.0046491474
-3.7555788,-0.0048580598,-0.0046386784,-0.0046705604
-3.8616285,-0.0048614508,-0.0046169842,-0.004635945
-3.9292126,-0.0048335111,-0.0045926925,-0.0045654178
-3.8868711,-0.0048705088,-0.0045778705,-0.0045418292
-3.810998,-0.0047749672,-0.0045995675,-0.0045433342
-3.8415062,-0.004799014,-0.00460649,-0.0045723617
-3.9132369,-0.0049205543,-0.0046368996,-0.0045611709
-4.0069857,-0.0048473347,-0.0045823492,-0.0045568794
-4.0110664,-0.0049167592,-0.0046369946,-0.0046356171
-3.8761032,-0.0047858926,-0.0044848574,-0.0044862628
-3.8456469,-0.0047691148,-0.0044379793,-0.0044834465
-3.9062071,-0.0048349071,-0.0045169918,-0.0044605732
-4.0340981,-0.004800777,-0.0044854302,-0.0045470744
-4.0114427,-0.0048048021,-0.0045643924,-0.0045247674
-3.8856902,-0.0047389008,-0.0045102201,-0.0045219809
-3.8827155,-0.0046601715,-0.0044055255,-0.0045560896
-3.9478056,-0.0047851102,-0.0044928128,-0.0044828206
-4.0215421,-0.0046956176,-0.0044853557,-0.0044853687
-4.017107,-0.004750873,-0.0044939574,-0.0044616014
-3.8901343,-0.0047521424,-0.0044425139,-0.0044168979
-3.8500204,-0.0047101825,-0.0043819286,-0.0043575317
-3.9242935,-0.0047095129,-0.0043956498,-0.0044393837
-3.9916801,-0.0047157183,-0.0046036914,-0.0044282675
-4.0403957,-0.0047470434,-0.004504092,-0.0044902414
-3.957767,-0.0047156792,-0.0044404641,-0.0044981092
-3.8284473,-0.0046507185,-0.0042709867,-0.0043641627
-3.8709493,-0.0046037175,-0.0044354331,-0.0043849051
-3.9614029,-0.004669263,-0.0044224262,-0.0043734163
-4.0141439,-0.0047745099,-0.0044353036,-0.0043281168
-3.9139781,-0.0046612388,-0.0044202525,-0.00438568
-3.8402061,-0.0046414156,-0.0044016093,-0.0043200701
-3.8836246,-0.0046601249,-0.0043491935,-0.0043237209
-3.9861686,-0.0046866219,-0.0044121053,-0.0044388473
-4.0226784,-0.0046765264,-0.0044077234,-0.0044008791
-3.9388947,-0.0046868967,-0.0044528944,-0.0042830259
-3.8284492,-0.0046147695,-0.0044243094,-0.0042607486
-3.8377941,-0.0046276525,-0.004379306,-0.0042455047
-3.9357021,-0.0047128266,-0.0043706791,-0.0043250322
-4.0052905,-0.0047082789,-0.0044694832,-0.0042973608
-4.0024018,-0.0045958171,-0.0044412874,-0.0043601692
-3.8756504,-0.0045723319,-0.004415852,-0.0043226331
-3.8447733,-0.0046138475,-0.0043171942,-0.0042952746
-3.9205644,-0.0046683457,-0.0044107065,-0.0042771548
